train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9061551,251.46522682687248,0.7655187,0.3859752,0.7837269,0.66231006,0.457285,0.5272523,0.9177891,769.1198662651909,0.81510913,0.39212742,0.8111256,0.7825636,0.5290396,0.6166242
0.92949235,202.57991306808302,0.83174866,0.41729304,0.84484184,0.90756035,0.674971,0.77116936,0.9406619,578.4482681839554,0.8605472,0.4244176,0.8744998,0.9999149,0.814994,0.89776975
0.94243616,171.50296446553097,0.86720926,0.43017966,0.87940794,0.9974897,0.9088288,0.9504435,0.9476072,502.1900566948785,0.8849691,0.4321631,0.8933249,1.0,0.96804154,0.9836817
0.9474906,157.0599516199958,0.8819223,0.43596286,0.8931716,0.9981508,0.9790404,0.988439,0.952824,464.4571598759404,0.8938092,0.43978187,0.9073659,1.0,0.9824515,0.9911048
0.9509948,149.78778063436002,0.89099663,0.4438618,0.9026621,0.99892426,0.98937666,0.99409705,0.9549383,428.9301823368779,0.89722705,0.4427202,0.91304785,1.0,0.9887408,0.9943068
0.95435,143.18181689403394,0.8981072,0.44617936,0.91177595,0.9990253,0.99224454,0.99559855,0.9592082,393.2299877025463,0.90805316,0.44823563,0.92460763,1.0,0.9924599,0.99619865
0.95816445,137.7525238300924,0.9072946,0.45229563,0.9219143,0.9995309,0.9938338,0.99665666,0.96478975,363.13061964246964,0.9207285,0.45550463,0.93923897,1.0,0.9942656,0.9971099
0.96287763,133.48474906624216,0.91738594,0.45888585,0.93441534,0.9994887,0.9945354,0.996979,0.9714367,342.03899863914205,0.9356407,0.4642917,0.95667297,1.0,0.99634016,0.9981561
0.9676603,130.09377008325913,0.927063,0.465236,0.94691396,0.9998322,0.99513745,0.9974662,0.97192,331.2370606599031,0.9376925,0.46473575,0.9580684,1.0,0.9945351,0.99724686
0.9689498,128.10455667043908,0.92991513,0.4662167,0.9503358,0.9998747,0.99563825,0.99774003,0.9722595,320.25771360044126,0.93819684,0.46530145,0.95892173,1.0,0.9962766,0.9981242
0.96958905,126.40842754018325,0.93124753,0.46949214,0.95208263,0.9998915,0.99612015,0.99799174,0.97224903,319.01779988606773,0.9380156,0.46524924,0.95884377,1.0,0.99659956,0.998288
0.96999097,124.47081680479792,0.9325671,0.4695232,0.95337206,0.99990356,0.9964875,0.99818367,0.97109723,328.2153459337023,0.9321876,0.4646329,0.9554527,1.0,0.99711055,0.99854577
0.97058153,123.76096699840504,0.9340323,0.47431237,0.95470804,0.99985135,0.99642754,0.9981275,0.97328866,307.1252888997396,0.94018215,0.46676585,0.9615713,1.0,0.99693197,0.9984547
0.97112143,122.54127833270876,0.935287,0.47215894,0.9561874,0.99988586,0.9968232,0.9983412,0.9726559,315.3575338858145,0.9380052,0.46614617,0.9598521,1.0,0.99718857,0.9985851
0.9714439,121.40726351624262,0.9359624,0.4700921,0.9569766,1.0,0.9969977,0.99848884,0.9729029,306.61891456886576,0.9389487,0.46638095,0.96056044,1.0,0.9966175,0.9982963
0.9713058,120.98843344065267,0.93555695,0.46703786,0.95661944,1.0,0.9971459,0.99856234,0.97305715,303.9283475522642,0.9391721,0.4666003,0.96093714,1.0,0.9970577,0.99851936
0.9716945,120.16173366977225,0.9366781,0.4700655,0.95770544,0.99996877,0.9971978,0.99856114,0.9725527,306.71579895019534,0.937803,0.4660126,0.95961565,1.0,0.99725306,0.99861753
0.97171104,119.703355282782,0.93660706,0.47389287,0.9576845,0.9999713,0.99701005,0.9984777,0.9730263,302.756546359592,0.93957305,0.4664354,0.96089864,1.0,0.9977074,0.99884653
0.9719362,119.0687903630146,0.9373857,0.47387064,0.9582828,1.0,0.9974489,0.9987163,0.97335035,300.2295837402344,0.9398112,0.4669759,0.9617104,1.0,0.99751556,0.99875027
0.97192425,118.81378797885912,0.93722755,0.46983805,0.9583225,0.9999345,0.9973329,0.99862444,0.97271764,299.0098905210142,0.9390941,0.4661057,0.96017265,1.0,0.997267,0.99862444
0.9719904,118.34109097709717,0.9373455,0.46933416,0.9584244,0.999957,0.99751145,0.9987266,0.97352,294.4120443838614,0.94092286,0.46703202,0.96223474,1.0,0.99752074,0.9987522
0.9716338,118.06363668578228,0.9366886,0.47210345,0.95756453,0.99977547,0.99748546,0.9986157,0.97321147,294.5203241418909,0.93994886,0.46678174,0.9614176,1.0,0.99733365,0.9986581
0.9720301,117.53664671256546,0.9374249,0.47424632,0.95855415,0.99990064,0.99770164,0.99879414,0.9727591,306.1181929976852,0.9378563,0.46635357,0.9600758,1.0,0.9973902,0.99868613
0.9720876,117.23245153442286,0.93760985,0.47046936,0.95875967,0.99997145,0.99766856,0.9988131,0.97329915,292.5293494330512,0.94078624,0.466643,0.96167624,1.0,0.9975283,0.998756
0.9722012,116.84329510796431,0.9379365,0.4725259,0.95899796,0.9999176,0.9977851,0.9988448,0.9733966,293.9258170798973,0.94067776,0.46683332,0.96189064,1.0,0.99777764,0.9988812
0.9721891,116.67120067644953,0.93794376,0.47194386,0.9590202,0.999921,0.9977096,0.9988076,0.9723165,301.4107772262008,0.93868107,0.46531683,0.9591015,0.9998603,0.9975126,0.99867666
0.9722774,116.14241223418655,0.93816054,0.47100082,0.95931524,0.9999348,0.9975717,0.9987438,0.97336584,290.6275617811415,0.9401357,0.46698025,0.96179867,1.0,0.9976609,0.99882305
0.9725458,115.84481482816614,0.93877137,0.46928757,0.95988256,0.99994564,0.99776876,0.99885064,0.9735201,289.01628191912613,0.94082636,0.46709082,0.962225,1.0,0.9977843,0.998885
0.9723403,115.55547571106442,0.9382961,0.47327057,0.9594699,0.99995786,0.9975819,0.99876165,0.97379786,298.2896659568504,0.9415701,0.46738657,0.9629442,1.0,0.99789894,0.9989425
0.9725369,115.30776213689904,0.9388904,0.47560796,0.9599376,0.99991715,0.997965,0.99893415,0.9736695,287.239641768844,0.94098455,0.4672984,0.9625751,0.9999333,0.99770856,0.99881333
0.9724265,115.03180585263833,0.9385599,0.47387496,0.9595273,0.9994923,0.9979795,0.9987013,0.97336584,290.6937731707538,0.94036686,0.46683764,0.9618051,1.0,0.9979621,0.9989744
0.97272456,114.40518530677346,0.9394017,0.47382814,0.9605802,0.9999184,0.9978862,0.99889594,0.97307265,289.4747639973958,0.9402665,0.46636227,0.9610993,1.0,0.99796665,0.998977
0.9724717,114.46629127902712,0.93853325,0.47163603,0.95973444,0.99989057,0.99797225,0.99892503,0.9737361,283.18644454390915,0.94143826,0.46732542,0.96280766,1.0,0.99784434,0.99891484
0.97272784,114.29504600731102,0.93928486,0.47450987,0.96038127,0.99978954,0.9977843,0.9987793,0.9735201,285.88677221227573,0.9405498,0.46718004,0.96218693,1.0,0.99770373,0.9988444
0.9728151,113.67053597454805,0.93935204,0.4725565,0.96063745,0.9998758,0.99782795,0.9988449,0.9734739,285.7840554696542,0.94038653,0.4670873,0.9620645,0.9998716,0.99803084,0.99894476
0.9727731,113.34929032924634,0.93946457,0.47181922,0.9604611,0.9985929,0.99787104,0.99786687,0.9737825,280.8900742142289,0.94162214,0.4673984,0.9629529,0.9999314,0.99791205,0.9989147
0.9729299,113.22942863246026,0.939712,0.47493222,0.9608831,0.99983186,0.997952,0.99888563,0.97362804,286.30143816912613,0.9407471,0.4673369,0.9624835,0.99987274,0.99778104,0.9988202
0.9728063,112.77751244270556,0.93950397,0.47666574,0.96066076,0.9996624,0.9981906,0.9989208,0.9742454,281.0405166060836,0.94242793,0.4680673,0.9641164,0.99993443,0.99803084,0.9989763
0.972719,112.97390591813954,0.93913716,0.47288007,0.9604775,0.9998228,0.99796593,0.99888796,0.9737516,278.80709567599826,0.9412105,0.46743265,0.9628282,1.0,0.9980953,0.9990413
0.9727754,112.80384483701285,0.9394477,0.47448817,0.9605739,0.9997787,0.997866,0.9988136,0.97389525,281.3276277895327,0.94133186,0.46766418,0.9631411,1.0,0.99803036,0.9990087
0.9729266,112.11439005938168,0.9397917,0.47375208,0.96103406,0.9997497,0.998065,0.99890125,0.9734739,282.61712070041233,0.93990505,0.4672266,0.96197474,0.9999295,0.9975292,0.9987213
0.9729565,112.16915756795667,0.93974346,0.47207543,0.9609709,0.999763,0.99791324,0.9988311,0.973551,277.39564921061196,0.94114,0.4669984,0.96228695,0.9999295,0.9979687,0.99894226
0.972973,111.85434853973753,0.9398728,0.47233084,0.9610223,0.99973667,0.9979738,0.99884915,0.97303605,284.1578059443721,0.9381421,0.46680087,0.96073043,1.0,0.99816644,0.99907744
0.972962,111.23956083986073,0.9398855,0.4713519,0.961116,0.999653,0.9981433,0.99889237,0.97379786,274.1690894232856,0.9410407,0.46755114,0.9628582,0.99979657,0.9980953,0.9989398
0.97282064,111.91516165816726,0.93927234,0.47065485,0.9605529,0.9996635,0.99820274,0.9989269,0.97335035,271.4392318160446,0.9402182,0.4669226,0.9617714,0.9998024,0.9980931,0.9989416
0.9729454,111.06976557460233,0.9397778,0.473091,0.9609932,0.9996914,0.99807733,0.9988783,0.9737922,275.62835557725697,0.9416712,0.46738517,0.96295595,0.99993265,0.9980247,0.9989727
0.9731164,110.34036998111985,0.94033295,0.47056597,0.96148777,0.99970365,0.9980918,0.9988915,0.9734583,267.223683336046,0.94009423,0.46715346,0.96197677,0.99974364,0.99789476,0.99881184
0.9726837,110.66541468585429,0.9390033,0.47235048,0.96044475,0.9998484,0.9979736,0.99890476,0.97387505,264.0304477267795,0.941436,0.4675761,0.96311533,1.0,0.9980286,0.9990075
0.97311544,109.71897861195671,0.9401458,0.47188914,0.9614032,0.9997764,0.99815476,0.99896044,0.97305715,265.4257474546079,0.93960685,0.46651614,0.9609664,1.0,0.9977175,0.9988513
0.9729365,109.73540004069172,0.9396661,0.47058576,0.960912,0.9998172,0.9981039,0.99895495,0.9736898,259.38471431025755,0.9408328,0.467391,0.9626024,0.99967235,0.99796027,0.9988089
0.9730855,109.26160825417038,0.9400366,0.4745821,0.96127635,0.9998759,0.9980271,0.9989456,0.9738288,257.4264639960395,0.9415974,0.4674396,0.96300524,0.99986696,0.99789363,0.9988729
0.9733108,108.56740745034999,0.9402789,0.47749192,0.9570982,0.9999028,0.99814636,0.9990188,0.9740293,258.94731677020036,0.9389786,0.47457105,0.9416342,1.0,0.9980247,0.9990058
0.9740494,108.222429822852,0.9345441,0.4933264,0.92582387,0.9999443,0.99806744,0.99900013,0.97510964,252.10558562102142,0.93697983,0.4947269,0.9276819,0.99993557,0.99789304,0.998907
0.9747549,108.34386700628671,0.9323275,0.50959635,0.9199332,0.9998863,0.9981368,0.99900657,0.97510964,254.89544802065248,0.93463826,0.5100011,0.9243727,0.9999314,0.9980247,0.99897146
0.9751689,107.50633379537464,0.9291571,0.52559936,0.9208348,0.9999271,0.99816555,0.999041,0.97501695,250.22360896357785,0.92670226,0.5160398,0.9217584,0.99986154,0.9977064,0.998776
0.97538644,107.15053275431283,0.92341834,0.52682066,0.9161076,0.999943,0.9980898,0.9990108,0.9757732,248.22010181568288,0.91484714,0.53637433,0.9139292,1.0,0.99795806,0.9989721
0.97533226,107.24186283530037,0.9122528,0.5379567,0.9169465,0.9999586,0.99802476,0.998985,0.9759535,247.5735922354239,0.9058197,0.53978443,0.9110727,1.0,0.99796027,0.9989735
0.97546816,106.42749291042455,0.90665406,0.53823704,0.91311777,0.99991673,0.99815315,0.9990293,0.9749862,248.58995881257235,0.87974584,0.5507163,0.9031511,1.0,0.9979068,0.99894667
0.9754979,106.43710186144126,0.9057274,0.54543996,0.9150956,0.99994516,0.99805677,0.99899334,0.9759429,241.54269714355468,0.91303664,0.5378321,0.9140816,0.99993557,0.99795806,0.9989398
0.97563154,106.37557628006928,0.9021065,0.54373604,0.91300154,0.9999541,0.99818546,0.9990644,0.97590715,244.66439208984374,0.9177443,0.53324085,0.9159561,1.0,0.9980247,0.9990058
0.97576505,105.78363298649629,0.90168643,0.54941577,0.91303,0.99994546,0.9980991,0.9990163,0.97581947,245.3977566189236,0.8935816,0.54403764,0.91152614,1.0,0.99795806,0.9989721
0.97559506,106.169500323661,0.90302026,0.5507332,0.91572917,0.99995846,0.9980799,0.99901354,0.97578377,240.80394524468315,0.8996209,0.54384935,0.91151595,1.0,0.99789363,0.9989397
0.97565466,105.74522879923471,0.89960366,0.557093,0.9148283,0.9999474,0.99814636,0.9990412,0.9759689,242.5915542602539,0.8987028,0.5443862,0.9124705,0.99993265,0.99795806,0.9989382
0.9758103,105.0665866233207,0.8970037,0.5561733,0.9115537,0.9997873,0.99806684,0.9989177,0.9759689,244.63054176613136,0.9179622,0.53637487,0.91493976,1.0,0.99795645,0.99897164
0.97577494,105.09087713268869,0.89853066,0.5570265,0.91094756,0.9999302,0.99804515,0.9989814,0.975696,238.62014171459057,0.89497983,0.54211265,0.911229,1.0,0.99795973,0.99897325
0.9757001,105.09818804548351,0.894346,0.557636,0.9117595,0.9999864,0.9981272,0.99905145,0.9759429,242.27189477991175,0.904107,0.5386766,0.91674274,1.0,0.99789476,0.9989406
0.9757066,104.93582325709454,0.8924846,0.5573455,0.9066038,0.99985445,0.99795,0.9988961,0.9760152,240.37983206289786,0.91606957,0.53506094,0.9193311,1.0,0.99808496,0.9990363
