train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.88303196,281.4067730926368,0.29647827,0.30773357,0.29299268,0.5430656,0.34640566,0.42228,0.9247043,841.6563227900753,0.32412645,0.34411788,0.33330965,0.55895007,0.38320568,0.45427302
0.9242405,195.27818096688517,0.32400492,0.34449542,0.3329402,0.7748292,0.78968567,0.77557325,0.9264124,592.2457010904948,0.32593703,0.3460508,0.33516794,0.8794251,0.9658845,0.9183414
0.93901706,158.53150448094112,0.3420144,0.35737768,0.34827498,0.97878754,0.98327774,0.9802806,0.9445459,485.8437606246383,0.3492342,0.36219648,0.354071,0.99972284,0.9880322,0.99381524
0.94538623,143.7571476752883,0.35089603,0.36306962,0.35504368,0.9998614,0.98948914,0.9946196,0.9447774,468.6268143265336,0.34919187,0.36255714,0.35436398,0.99993265,0.98993325,0.9948796
0.9486741,139.68597107964592,0.3553435,0.36622927,0.35857067,0.999958,0.99161303,0.9957415,0.95062697,450.12437337239584,0.35838294,0.36778337,0.36067703,1.0,0.9928527,0.9963917
0.95031244,137.33432599357278,0.35790458,0.36782712,0.36041963,0.9999865,0.99238586,0.99614894,0.9461672,451.1018211082176,0.3510977,0.36392766,0.35587913,1.0,0.9926,0.99626535
0.95145077,135.75345511353072,0.35960385,0.36883432,0.36164048,0.99995655,0.99242467,0.99615216,0.9506116,440.0572401258681,0.35730955,0.36813486,0.36068094,1.0,0.9931149,0.9965248
0.9521574,134.39728493228057,0.3605208,0.3696497,0.36245698,0.9999605,0.9932021,0.9965508,0.9519386,431.48698979130495,0.35991347,0.36918724,0.36210647,0.99993265,0.99375397,0.9968144
0.95266294,133.30642720815297,0.3611185,0.3700125,0.36298272,0.99991715,0.9933048,0.9965772,0.9535795,429.182699697989,0.36170533,0.37090713,0.3639042,0.99993265,0.99400723,0.9969426
0.9534093,131.8936784589613,0.3620042,0.3709514,0.36385524,0.9999445,0.9939861,0.99693847,0.9468819,452.7555942111545,0.35083732,0.36508253,0.3567219,1.0,0.9949063,0.99743086
0.9541104,131.0351498881281,0.36261815,0.3717779,0.36463413,0.9999711,0.99432313,0.99712515,0.9544542,422.27137993706594,0.36237192,0.37193644,0.364855,0.99993503,0.9950367,0.9974649
0.9542737,130.647059589198,0.3626642,0.37201256,0.3648613,1.0,0.9948652,0.9974132,0.95438755,420.11421780056423,0.3616462,0.37206742,0.36478084,1.0,0.995654,0.99780864
0.9548854,129.9004325078288,0.36327255,0.37241465,0.3654191,0.9999734,0.9953182,0.9976283,0.9546345,418.8100141737196,0.36213082,0.37229428,0.36507407,1.0,0.99671656,0.998346
0.9550576,129.45187208118045,0.36344576,0.3727434,0.365653,0.99993,0.99561864,0.9977585,0.95503575,420.6305773699725,0.36267403,0.3726802,0.36550972,0.9986586,0.9969143,0.99777484
0.9552553,128.7318758274679,0.36368123,0.37294352,0.36584115,0.9997367,0.9963132,0.9980066,0.95044196,432.63655960648146,0.3556293,0.36851105,0.36049056,0.9997405,0.99725163,0.9984861
0.955434,128.2575841397284,0.36381665,0.37308306,0.3660506,0.9999459,0.9967111,0.9983178,0.9498246,433.8343070701317,0.35472485,0.36789426,0.35980526,1.0,0.9969809,0.9984807
0.95536125,128.3244209335036,0.36368796,0.37301838,0.36595654,0.99996,0.99658114,0.9982572,0.9554832,409.09046156141494,0.36331487,0.37307543,0.36596617,0.99981415,0.9974258,0.9986117
0.9554982,128.37504667394302,0.36389115,0.37318695,0.36610883,0.9999618,0.9969501,0.99844646,0.9536777,419.39393525300204,0.36063707,0.37143248,0.36403447,1.0,0.99757236,0.99877864
0.9555678,127.70538981881923,0.36396483,0.37321675,0.36616302,0.9999337,0.99717706,0.9985469,0.9537086,417.1542504204644,0.36067268,0.37148887,0.3640713,1.0,0.9975768,0.9987809
0.95587903,127.17529885151049,0.36422005,0.3736004,0.36651552,0.9999563,0.9973059,0.9986221,0.9549894,411.0683462637442,0.36281285,0.37254706,0.36544234,0.9998653,0.99777526,0.99881357
0.95597726,126.67688371267153,0.36441734,0.37371367,0.36664608,0.99997354,0.99753386,0.9987469,0.95557576,406.28458285861547,0.3641176,0.3730014,0.36610055,0.99987215,0.9980209,0.99894005
0.9558592,126.65372929626125,0.3642718,0.37357485,0.36652258,0.9999192,0.9975198,0.99871135,0.95497394,412.8660253454138,0.36244896,0.3726692,0.36543825,0.9996668,0.9979059,0.9987794
0.955815,126.76585878514713,0.36420086,0.37345582,0.366443,0.9999303,0.99761295,0.99876446,0.95515907,407.8008576569734,0.36289683,0.37281278,0.36564788,1.0,0.99796075,0.998974
0.95582163,126.46142953530025,0.36422297,0.3734796,0.36646047,0.9999484,0.99750316,0.9987173,0.9551437,408.9949026602286,0.36286622,0.37276882,0.3656183,0.99929863,0.99796665,0.9986247
0.95612085,125.7435475441913,0.36449054,0.37383837,0.36678144,0.9998909,0.99776006,0.9988189,0.95522577,409.8987985116464,0.36290058,0.37288326,0.36571243,1.0,0.9980273,0.9990074
0.95602256,125.49036729657972,0.3644312,0.37382776,0.3667454,0.9999733,0.997807,0.9988833,0.95420235,409.3657248037833,0.3615101,0.37187698,0.36458713,0.99992436,0.99808973,0.9990015
0.95608556,125.35561553851979,0.36454168,0.37377086,0.3667598,0.9999477,0.99792325,0.9989293,0.95582277,400.9545630560981,0.3638085,0.37342754,0.3663542,0.9998594,0.99798065,0.9989137
0.95598286,125.33910524068084,0.36437365,0.37369168,0.36667442,0.9999042,0.99783474,0.99886286,0.95299864,411.5994171142578,0.35955948,0.37085977,0.3633249,1.0,0.9980209,0.9990039
0.95613194,125.14244189815794,0.36453623,0.37384954,0.36682552,0.9998923,0.99788696,0.9988834,0.95566833,403.02610292787904,0.36358717,0.37329397,0.3662049,0.9997281,0.99835205,0.9990345
0.95615715,124.81931568139687,0.364513,0.3739805,0.36687833,0.99984086,0.9979636,0.99889654,0.94958246,422.5616843894676,0.35459164,0.36773464,0.35967016,1.0,0.9981504,0.99906975
0.95643544,124.29432008073137,0.36483237,0.37418902,0.36714506,0.99983424,0.99796325,0.9988924,0.95472705,407.6582715069806,0.36217117,0.37240598,0.36517632,0.9999281,0.99796957,0.9989424
0.95619595,124.07506948813725,0.3646443,0.37396267,0.3669043,0.999673,0.9980585,0.9988538,0.9557919,399.25139408817995,0.36389527,0.37336725,0.36634415,1.0,0.9982155,0.99910164
0.95622355,124.56116631527584,0.36461514,0.37391517,0.36692053,0.999871,0.99785775,0.9988579,0.95478874,405.2955418339482,0.36227444,0.3724961,0.365256,0.99986076,0.9982162,0.999032
0.95632946,124.14461544473524,0.36469322,0.37414312,0.36703953,0.9998259,0.9979942,0.9989041,0.95562214,401.46232638888887,0.3636337,0.3732211,0.36614996,0.9958444,0.99815345,0.9969826
0.95627654,123.94661076762529,0.36470792,0.37404087,0.36698738,0.9996193,0.9980693,0.998834,0.9517178,414.78171612774884,0.35775977,0.3696618,0.36196318,1.0,0.9978861,0.9989362
0.95625883,123.7012077780331,0.36465877,0.37410775,0.3670033,0.99967176,0.99800235,0.9988308,0.9551437,400.2610331217448,0.36286342,0.3728012,0.36563948,0.9997387,0.9981522,0.998939
0.956313,123.41237558507389,0.3647463,0.37406325,0.3670332,0.999438,0.99791384,0.9986628,0.95325047,407.1851111518012,0.35986096,0.3710755,0.36357477,1.0,0.99829024,0.99913985
0.9563946,123.39104584176893,0.364826,0.37415487,0.36712617,0.9996986,0.99794346,0.9988141,0.95537513,397.1768927680122,0.36310393,0.37303978,0.36589253,0.99986935,0.9982823,0.99906987
0.9563229,123.55925977703876,0.3647834,0.37403145,0.36703062,0.9997622,0.9979702,0.9988604,0.95583814,394.63723630551937,0.36392418,0.37342125,0.3663729,1.0,0.9982162,0.999102
0.9565614,123.17584263084424,0.36497208,0.3744116,0.36731768,0.9997811,0.9981569,0.9989635,0.9550049,400.0883751763238,0.36248863,0.3727127,0.36548817,0.99830526,0.99821687,0.9982518
0.95663303,122.64612271258865,0.36508396,0.37432206,0.36735258,0.9997007,0.9981124,0.99890095,0.9522783,406.25242818196614,0.35858107,0.37019488,0.36257827,1.0,0.9980934,0.9990406
0.9567766,122.56679478662002,0.36523646,0.3744553,0.36749366,0.9997132,0.99808335,0.99889225,0.95363134,402.10436378761574,0.36049148,0.37144533,0.36400214,0.99298185,0.99803174,0.99548024
0.9568837,122.60425688769367,0.36537433,0.37462267,0.36761466,0.99952334,0.99806803,0.99878687,0.9533739,403.3374955919054,0.36014912,0.37121782,0.36374328,0.9910407,0.99836516,0.9946643
0.95648515,122.83780239572206,0.3649307,0.37437817,0.36725774,0.9993958,0.99809605,0.9987399,0.95583814,393.4938621238426,0.36379632,0.37349457,0.36639428,0.99993265,0.998219,0.99906987
0.95661205,122.95984921963301,0.3650813,0.37436846,0.367359,0.99968505,0.99803793,0.99885535,0.9549017,398.7099855776186,0.36236584,0.37260333,0.3653702,0.99992436,0.998284,0.9990987
0.9565657,122.1851774619001,0.36508262,0.3744827,0.36734718,0.99967444,0.9981028,0.99888253,0.9548505,395.95504670319735,0.36217266,0.37258476,0.36530495,1.0,0.9980254,0.9990065
