train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9128,196.9069,0.7980,0.3916,0.7982,0.9144,0.7837,0.8382,0.9174,175.7792,0.8150,0.3915,0.8100,1.,0.7570,0.8609
0.9185,175.4782,0.8172,0.3997,0.8132,0.9993,0.8451,0.9151,0.9174,177.3330,0.8150,0.3915,0.8100,1.,0.7310,0.8437
0.9188,174.3733,0.8181,0.3967,0.8137,1.,0.8168,0.8986,0.9174,174.0101,0.8150,0.3915,0.8100,1.,0.7427,0.8516
0.9186,173.9989,0.8172,0.3962,0.8134,1.,0.7977,0.8867,0.9174,174.7512,0.8150,0.3915,0.8100,1.,0.7414,0.8507
0.9185,173.7174,0.8170,0.3990,0.8131,1.,0.7801,0.8758,0.9174,173.9235,0.8150,0.3915,0.8100,1.,0.7228,0.8384
0.9187,173.5486,0.8180,0.3971,0.8137,1.,0.7762,0.8733,0.9174,175.6790,0.8150,0.3915,0.8100,1.,0.7247,0.8396
0.9187,173.5190,0.8180,0.3981,0.8136,1.,0.7741,0.8720,0.9174,174.0838,0.8150,0.3915,0.8100,1.,0.7211,0.8371
0.9188,173.3903,0.8180,0.3982,0.8137,1.,0.7610,0.8637,0.9174,174.1311,0.8150,0.3915,0.8100,1.,0.7234,0.8386
0.9187,173.3917,0.8179,0.3979,0.8136,1.,0.7600,0.8630,0.9174,174.0595,0.8150,0.3915,0.8100,1.,0.7173,0.8347
0.9187,173.7169,0.8176,0.3974,0.8137,1.,0.7808,0.8759,0.9174,174.5828,0.8150,0.3915,0.8100,1.,0.7080,0.8283
0.9185,173.3788,0.8174,0.3992,0.8133,1.,0.7589,0.8622,0.9174,173.6968,0.8150,0.3915,0.8100,1.,0.7191,0.8358
0.9185,173.2950,0.8174,0.3987,0.8133,1.,0.7554,0.8599,0.9174,174.0302,0.8150,0.3915,0.8100,1.,0.7187,0.8355
0.9187,173.3200,0.8179,0.4023,0.8136,1.,0.7488,0.8557,0.9174,173.8581,0.8150,0.3915,0.8100,1.,0.7216,0.8375
0.9193,172.6129,0.8161,0.4017,0.8160,1.,0.7906,0.8805,0.9171,173.7400,0.7968,0.3950,0.8120,1.,0.8678,0.9288
0.9188,171.6818,0.8112,0.3998,0.8152,1.,0.8622,0.9240,0.9188,170.0138,0.7971,0.3992,0.8177,1.,0.9202,0.9582
0.9263,165.9457,0.8229,0.4088,0.8367,1.,0.9736,0.9865,0.9283,163.2816,0.8226,0.4104,0.8424,1.,0.9826,0.9912
0.9246,165.6887,0.8168,0.4093,0.8323,1.,0.9735,0.9864,0.9217,168.7806,0.8059,0.4020,0.8248,1.,0.9692,0.9843
0.9245,166.7360,0.8166,0.4124,0.8319,1.,0.9756,0.9876,0.9180,170.0590,0.7984,0.3966,0.8148,1.,0.9402,0.9690
0.9226,168.3038,0.8135,0.4088,0.8266,1.,0.9678,0.9835,0.9220,168.1934,0.8116,0.4006,0.8247,1.,0.9675,0.9834
0.9252,166.5859,0.8207,0.4088,0.8335,1.,0.9712,0.9853,0.9236,166.5166,0.8150,0.4032,0.8294,1.,0.9720,0.9857
0.9270,164.6563,0.8260,0.4104,0.8381,0.9999,0.9751,0.9873,0.9283,163.9596,0.8259,0.4093,0.8417,1.,0.9747,0.9871
0.9287,164.6899,0.8283,0.4159,0.8428,1.,0.9715,0.9855,0.9294,163.8913,0.8289,0.4105,0.8445,1.,0.9702,0.9848
