train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9105469,197.70112951912446,0.7935665,0.38940424,0.79249704,0.9259245,0.781293,0.8408843,0.9174188,177.24315671567564,0.81501734,0.3914595,0.80996,1.0,0.71041024,0.82972324
0.9184431,175.86199621252112,0.8168641,0.39966533,0.8130068,0.99940383,0.8369457,0.9103181,0.9174188,174.5362851743345,0.81501734,0.3914595,0.80996,1.0,0.74573594,0.8535966
0.91865826,174.41932377716697,0.8173723,0.39664045,0.8134563,1.0,0.8134842,0.89644384,0.9174188,174.59171187789352,0.81501734,0.3914595,0.80996,1.0,0.74417233,0.8525319
0.91856784,174.08939377643725,0.8168928,0.39620134,0.8133716,1.0,0.795096,0.8850903,0.9174188,174.26437281855831,0.81501734,0.3914595,0.80996,1.0,0.72934806,0.8426734
0.9185822,173.75669261647332,0.81692326,0.399152,0.81336075,1.0,0.78266186,0.8774672,0.9174188,175.00549107304326,0.81501734,0.3914595,0.80996,1.0,0.7007095,0.82324064
0.9186539,173.70895937023556,0.81764704,0.39703578,0.8135161,1.0,0.7788809,0.8749799,0.9174188,176.70836300320096,0.81501734,0.3914595,0.80996,1.0,0.71874344,0.83569074
0.918739,173.61230514690115,0.8180023,0.39805984,0.81363434,1.0,0.7738963,0.8718286,0.9174188,174.47360127766927,0.81501734,0.3914595,0.80996,1.0,0.71166426,0.8306712
0.91877764,173.48340705847323,0.8181321,0.39816955,0.81375116,1.0,0.76952094,0.86912346,0.9174188,173.97657289858216,0.81501734,0.3914595,0.80996,1.0,0.7139272,0.83225095
0.9188007,173.42481656521795,0.8182812,0.39796034,0.81378853,1.0,0.7573649,0.8612965,0.9174188,173.9566071121781,0.81501734,0.3914595,0.80996,1.0,0.70955133,0.8293664
0.9187434,173.35718409169837,0.8180319,0.39735818,0.8136793,1.0,0.7530142,0.85843366,0.9174188,173.7880699440285,0.81501734,0.3914595,0.80996,1.0,0.7102556,0.8298066
0.91858655,173.34765211387355,0.81781965,0.3992073,0.8133911,1.0,0.7494375,0.8560298,0.9174188,173.90471163149232,0.81501734,0.3914595,0.80996,1.0,0.72707427,0.8412158
0.91842425,173.31653287490334,0.8166859,0.39871022,0.81315255,1.0,0.7491409,0.85580295,0.9174188,173.78570912679035,0.81501734,0.3914595,0.80996,1.0,0.7102918,0.8298126
0.92115015,171.94303008748162,0.82018423,0.40657428,0.82069373,1.0,0.800224,0.8862,0.9332391,159.93444575557,0.8370775,0.41611847,0.85501224,1.0,0.970538,0.98497516
0.94107825,149.51042333884914,0.86639416,0.4316862,0.8759183,1.0,0.99171317,0.99580693,0.94605345,139.42001998336227,0.87978673,0.43032536,0.889139,1.0,0.99531376,0.9976373
0.94694394,139.90586482322462,0.88350356,0.4366551,0.89167356,1.0,0.9955616,0.997763,0.9515789,133.82024982593677,0.8907587,0.43821034,0.9042172,1.0,0.99589914,0.9979336
0.9493983,134.34171234822236,0.88834554,0.43744484,0.898513,1.0,0.9958599,0.99789464,0.9568721,126.04580394603587,0.89935553,0.44590783,0.9182759,1.0,0.9979711,0.99897957
0.9598835,127.47666389574496,0.9072547,0.4546876,0.9263162,1.0,0.9968448,0.9984086,0.96713537,119.335418927228,0.92352337,0.45929694,0.9452215,1.0,0.9975778,0.9987811
0.96318346,124.28938139110377,0.9143965,0.46297166,0.93491477,1.0,0.99738604,0.99868244,0.96825135,117.35786726209852,0.92551684,0.4609033,0.9481054,1.0,0.9978979,0.9989425
0.9653815,122.00269505177847,0.9204074,0.46535242,0.94084704,1.0,0.99775714,0.998872,0.96869403,118.3597570348669,0.92821044,0.46111524,0.94939226,1.0,0.9979628,0.9989753
0.96355,123.14413811178768,0.9154977,0.45915627,0.9360107,0.9998234,0.99780846,0.998804,0.9636508,119.60217748571326,0.913878,0.45510623,0.9359792,1.0,0.99803853,0.9990135
0.96620727,120.33778126630192,0.9221902,0.4620633,0.94307446,1.0,0.99775654,0.99887127,0.96964663,116.5054034197772,0.9296306,0.4624558,0.95185095,1.0,0.9977668,0.9988764
0.9684386,118.95856444293631,0.92844945,0.46803102,0.9490431,1.0,0.9978811,0.9989335,0.97013474,115.04317293520327,0.93077826,0.46320796,0.9530879,1.0,0.9978398,0.998913
0.9675621,119.40567462811978,0.92548007,0.46859348,0.94661474,1.0,0.9979448,0.99896616,0.96331877,120.08393243860316,0.91747224,0.45366183,0.9354683,1.0,0.9979083,0.9989477
0.9696708,116.93864510055566,0.9312937,0.4673859,0.95234424,1.0,0.9980929,0.99904156,0.97183317,111.8560061984592,0.9358028,0.46511582,0.95767164,1.0,0.99795014,0.9989687
0.95739496,128.96493643683357,0.900523,0.45338446,0.91964823,0.99954575,0.9974598,0.9984562,0.96071565,126.40791060836227,0.9074992,0.45099846,0.9283697,1.0,0.99670863,0.99833995
0.9584007,129.44860373923055,0.9023292,0.45433503,0.92237484,1.0,0.9970833,0.9985311,0.96431047,119.71795354772497,0.9151819,0.45607296,0.93774474,1.0,0.9977741,0.9988798
0.96538484,120.923820180241,0.9205886,0.46232074,0.94110566,1.0,0.99796003,0.99897414,0.97043854,114.875242445204,0.93269324,0.46327227,0.95410043,1.0,0.9979532,0.9989702
0.9691176,116.94505430139684,0.93001133,0.46493447,0.95076144,1.0,0.9980582,0.99902356,0.9717966,113.12896513762297,0.9358405,0.4650212,0.9575898,1.0,0.9979687,0.9989778
0.97004503,115.57405698773212,0.9322919,0.47038737,0.953394,1.0,0.9980178,0.99900323,0.97227985,113.67755833378544,0.9381402,0.46546507,0.958988,1.0,0.9979058,0.998946
0.9698707,115.34621658082607,0.9317401,0.47223696,0.9528149,1.0,0.99821144,0.99909973,0.9721613,109.97488064236111,0.937467,0.4652465,0.95859146,1.0,0.9979075,0.9989466
0.97055405,114.43234415615306,0.93354833,0.47152054,0.9545197,1.0,0.99815476,0.9990721,0.9726502,109.06809449372469,0.9389135,0.4658214,0.9598884,1.0,0.99803525,0.9990107
