Annotation,Location
+,32
N,309
V,503
N,977
N,1315
N,1651
N,1971
N,2294
V,2488
N,2956
N,3296
N,3613
N,3923
N,4257
V,4448
N,4906
N,5239
N,5552
N,5882
N,6210
N,6521
N,6864
N,7200
N,7512
+,7610
V,7709
N,8178
V,8377
N,8860
V,9052
N,9531
V,9736
N,10194
V,10421
N,10867
V,11065
+,11305
N,11545
N,11863
N,12186
N,12502
N,12804
+,12901
V,12999
N,13462
V,13657
N,14120
V,14325
N,14788
V,14981
+,15216
N,15451
N,15768
N,16080
N,16405
N,16720
V,16908
N,17391
N,17722
V,17913
N,18388
N,18726
V,18921
N,19403
V,19616
N,20104
N,20437
+,20532
V,20628
N,21102
V,21296
N,21763
V,21970
+,22190
N,22411
N,22744
N,23062
N,23381
N,23722
N,24054
N,24406
N,24747
N,25070
V,25263
N,25756
N,26072
N,26402
N,26729
N,27047
N,27366
N,27695
V,27883
N,28371
N,28718
N,29055
N,29376
N,29704
+,29812
V,29910
N,30386
V,30575
N,31066
V,31262
+,31494
N,31727
N,32063
N,32375
N,32697
N,33025
N,33344
N,33667
N,34001
N,34329
N,34657
N,34995
N,35338
N,35666
N,36015
N,36354
N,36684
N,37028
N,37356
N,37681
N,38027
N,38353
N,38675
N,39015
N,39340
N,39658
N,39984
N,40300
N,40627
N,40952
N,41278
N,41608
N,41936
V,42126
N,42595
N,42927
N,43249
N,43562
N,43881
N,44206
N,44517
N,44834
V,45029
N,45492
N,45832
N,46160
N,46481
N,46814
N,47132
+,47228
V,47325
N,47795
V,47991
N,48463
V,48699
+,48929
N,49148
N,49490
N,49807
V,50003
N,50468
N,50795
V,50985
N,51460
N,51788
N,52115
N,52434
N,52747
V,52941
N,53407
N,53752
N,54079
N,54395
N,54726
N,55047
N,55366
N,55698
N,56019
N,56337
N,56672
N,56986
V,57173
N,57652
N,57971
V,58156
N,58624
N,58943
V,59136
N,59591
V,59790
N,60257
N,60570
V,60753
N,61208
N,61517
N,61845
N,62173
N,62492
+,62590
V,62688
N,63194
N,63519
V,63716
N,64213
N,64568
V,64761
N,65249
N,65586
V,65776
N,66252
N,66586
V,66782
+,67022
N,67262
V,67458
N,67935
N,68265
+,68360
V,68455
N,68915
V,69119
N,69583
V,69787
N,70250
V,70478
N,70931
V,71122
N,71598
V,71799
+,72033
N,72267
N,72605
N,72928
N,73250
N,73594
N,73923
V,74110
N,74595
V,74799
N,75281
N,75613
N,75932
+,76031
V,76131
N,76612
V,76807
N,77287
V,77484
+,77720
N,77956
N,78292
N,78606
N,78941
N,79275
N,79590
N,79924
N,80263
N,80601
N,80940
N,81286
N,81634
V,81823
N,82298
N,82641
N,82960
V,83153
N,83630
V,83825
N,84305
N,84634
N,84939
V,85137
N,85603
+,85700
V,85798
N,86272
N,86587
V,86783
N,87253
N,87572
V,87769
N,88238
N,88573
V,88767
+,89003
N,89240
V,89502
N,89948
N,90265
V,90458
N,90936
N,91284
N,91606
N,91918
N,92260
V,92450
N,92919
N,93263
N,93592
N,93919
N,94240
V,94430
N,94908
N,95245
N,95566
N,95881
N,96205
V,96400
N,96878
N,97214
N,97551
N,97872
V,98063
N,98533
V,98724
N,99201
N,99531
N,99846
V,100037
N,100511
N,100832
N,101151
+,101247
V,101343
N,101812
V,102010
N,102471
V,102684
+,102922
N,103150
N,103468
V,103659
N,104112
N,104426
V,104621
N,105068
N,105383
+,105494
V,105595
N,106033
V,106221
N,106700
V,106894
N,107363
V,107575
+,107806
N,108027
N,108362
+,108458
V,108554
N,109016
N,109340
V,109531
N,109997
N,110317
V,110506
N,110974
N,111300
V,111488
N,111954
N,112279
V,112471
+,112724
N,112937
V,113127
N,113599
N,113908
N,114210
N,114525
N,114829
N,115148
N,115477
N,115788
V,115976
N,116458
V,116654
N,117116
N,117441
N,117751
+,117848
V,117946
N,118412
N,118729
V,118930
N,119391
N,119706
V,119899
N,120354
N,120674
V,120867
N,121310
N,121637
V,121825
N,122267
N,122584
V,122773
+,123001
N,123230
N,123557
N,123876
N,124190
V,124382
N,124837
V,125033
N,125484
N,125804
N,126112
N,126422
N,126739
N,127047
N,127363
N,127683
N,127991
N,128309
N,128644
N,128957
N,129275
N,129608
N,129921
V,130106
N,130570
V,130763
N,131232
N,131558
N,131865
V,132068
N,132529
+,132625
V,132722
N,133185
N,133499
V,133688
N,134147
N,134462
V,134647
N,135108
N,135423
V,135610
N,136068
N,136387
V,136583
N,137045
N,137362
V,137560
N,138026
N,138334
V,138521
+,138747
N,138974
N,139294
N,139609
N,139930
N,140264
N,140587
N,140915
N,141240
N,141563
N,141898
V,142095
N,142564
N,142910
N,143230
N,143536
N,143864
N,144176
N,144495
N,144823
N,145135
N,145458
N,145791
N,146108
N,146424
N,146753
N,147075
N,147402
N,147724
N,148041
N,148366
N,148687
N,148997
N,149317
N,149645
N,149966
N,150279
N,150604
N,150932
N,151234
N,151547
V,151738
N,152195
N,152532
N,152858
N,153166
N,153491
V,153689
N,154154
N,154490
N,154802
N,155124
N,155456
N,155768
N,156099
N,156439
N,156760
+,156852
V,156944
N,157424
N,157751
V,157948
N,158425
N,158748
V,158948
N,159427
N,159744
V,159936
N,160393
N,160715
V,160904
+,161129
N,161355
V,161556
N,162016
N,162334
N,162638
V,162828
N,163305
N,163624
N,163950
N,164291
N,164610
N,164930
N,165265
N,165584
V,165774
N,166257
V,166450
N,166928
N,167267
N,167577
+,167675
V,167774
N,168243
V,168441
N,168914
V,169111
+,169346
N,169582
N,169916
N,170222
N,170539
N,170861
V,171052
N,171526
N,171864
N,172200
N,172517
N,172838
V,173035
N,173503
N,173853
N,174181
N,174496
N,174834
N,175151
N,175468
N,175805
N,176120
N,176442
N,176781
N,177107
N,177430
N,177764
N,178087
N,178403
N,178727
N,179052
N,179376
N,179696
N,180014
N,180335
N,180659
N,180975
N,181287
N,181612
N,181936
N,182251
N,182576
N,182899
N,183223
N,183551
N,183873
N,184191
N,184526
N,184847
N,185171
N,185504
N,185822
N,186145
N,186469
N,186784
N,187103
N,187437
N,187764
N,188077
N,188418
N,188753
N,189064
N,189393
N,189716
N,190035
N,190362
N,190680
N,191004
N,191333
N,191650
N,191968
N,192292
N,192616
N,192941
N,193266
N,193591
N,193907
N,194219
N,194530
N,194839
N,195154
N,195475
N,195783
N,196109
V,196309
N,196774
N,197114
N,197441
N,197756
N,198092
V,198278
N,198753
N,199102
N,199434
N,199757
N,200084
V,200273
N,200759
N,201102
N,201431
N,201755
N,202082
V,202268
N,202744
N,203087
N,203414
N,203723
N,204050
N,204367
+,204463
V,204559
N,205038
N,205360
V,205551
N,206045
N,206373
V,206562
N,207049
N,207383
V,207571
N,208043
N,208378
V,208572
N,209044
N,209378
V,209570
N,210043
V,210242
N,210719
N,211039
V,211236
N,211695
N,212027
V,212224
N,212686
N,213004
V,213190
N,213650
V,213845
N,214312
N,214621
V,214821
N,215270
N,215580
V,215773
N,216253
N,216592
V,216780
+,217020
N,217260
N,217593
N,217923
N,218244
N,218565
N,218889
N,219219
N,219536
V,219734
N,220210
N,220534
V,220726
N,221194
V,221387
N,221864
N,222184
N,222490
N,222811
N,223130
N,223443
N,223771
V,223959
N,224430
N,224779
N,225094
N,225405
N,225741
V,225930
N,226403
N,226754
N,227082
N,227408
N,227740
V,227927
N,228418
N,228763
N,229084
N,229395
N,229723
N,230053
N,230365
N,230696
N,231027
N,231340
N,231666
N,231991
N,232310
N,232646
N,232965
N,233282
N,233623
N,233936
V,234120
N,234596
N,234919
V,235110
N,235583
N,235908
N,236233
N,236556
N,236864
N,237181
N,237510
N,237837
N,238150
N,238484
N,238811
N,239137
N,239466
N,239791
N,240116
N,240457
N,240777
+,240873
V,240969
N,241458
N,241788
V,241981
N,242450
N,242776
V,242968
+,243207
N,243446
N,243764
N,244095
N,244414
N,244720
V,244915
N,245391
N,245717
V,245912
N,246385
N,246707
N,247029
N,247347
N,247665
V,247853
N,248320
N,248649
V,248842
N,249308
N,249647
N,249975
N,250283
N,250599
N,250923
N,251240
N,251556
N,251880
N,252204
N,252527
N,252842
N,253164
N,253478
N,253808
N,254135
N,254443
N,254775
V,254965
N,255432
N,255773
N,256090
N,256415
N,256747
V,256934
N,257411
N,257754
N,258069
N,258384
N,258697
V,258889
N,259358
N,259689
N,260010
N,260329
N,260658
V,260842
N,261322
N,261669
N,262001
N,262326
N,262664
N,262987
V,263177
N,263657
N,263983
V,264172
N,264658
N,264984
V,265173
N,265654
V,265852
N,266343
N,266668
N,267001
N,267339
N,267655
V,267843
N,268324
V,268520
N,268992
N,269324
N,269638
V,269831
N,270302
V,270497
N,270976
N,271315
N,271626
N,271951
N,272282
N,272603
+,272697
V,272792
N,273266
N,273597
V,273789
N,274261
N,274584
V,274774
N,275249
N,275579
+,275672
V,275765
N,276240
V,276441
N,276916
V,277111
+,277342
N,277574
N,277908
N,278217
+,278312
V,278407
N,278882
N,279213
V,279398
N,279877
N,280202
V,280396
N,280875
N,281199
V,281395
N,281862
N,282187
+,282282
V,282377
N,282839
V,283035
N,283498
V,283696
N,284164
V,284403
+,284631
N,284847
N,285191
N,285515
N,285839
N,286165
V,286350
N,286834
N,287179
N,287502
N,287823
N,288157
N,288487
N,288801
N,289128
N,289457
N,289784
N,290108
N,290427
N,290744
N,291077
N,291387
N,291700
N,292034
N,292349
N,292661
N,292991
N,293302
N,293625
N,293955
V,294140
N,294610
N,294953
N,295272
N,295597
N,295921
N,296239
V,296433
N,296919
V,297112
N,297594
N,297934
N,298251
V,298437
N,298924
V,299123
N,299596
N,299932
N,300255
V,300445
N,300923
N,301263
V,301452
N,301938
V,302131
N,302611
N,302938
N,303254
N,303572
N,303886
N,304198
N,304532
N,304857
N,305178
N,305525
N,305859
N,306180
N,306518
N,306844
N,307174
N,307502
N,307818
V,308013
N,308499
N,308822
N,309152
N,309483
N,309807
N,310124
N,310443
N,310768
N,311079
N,311391
N,311706
N,312019
N,312349
N,312664
V,312852
N,313328
N,313655
V,313846
N,314319
N,314639
N,314971
N,315299
N,315609
N,315936
N,316266
N,316574
N,316902
N,317231
N,317559
N,317881
N,318211
V,318401
N,318883
N,319221
N,319558
N,319876
N,320208
V,320401
N,320871
N,321220
N,321545
N,321863
N,322200
N,322520
N,322843
N,323181
N,323496
V,323683
N,324177
V,324372
N,324847
N,325178
N,325496
V,325692
N,326162
N,326491
N,326816
V,327016
N,327478
N,327810
N,328138
N,328458
V,328655
N,329130
N,329456
N,329786
N,330113
N,330443
N,330761
N,331095
N,331423
N,331735
V,331940
N,332412
N,332730
N,333045
N,333362
N,333682
N,333990
N,334311
V,334501
N,334976
N,335316
N,335652
N,335967
N,336305
N,336639
N,336957
N,337294
N,337621
N,337940
N,338280
N,338612
N,338941
N,339286
N,339612
N,339948
N,340280
N,340593
+,340689
V,340786
N,341262
N,341594
V,341794
N,342259
N,342594
V,342784
N,343245
N,343576
V,343766
N,344236
N,344571
V,344762
N,345236
N,345562
V,345753
N,346210
N,346526
V,346716
N,347186
N,347499
+,347593
V,347687
N,348153
V,348354
N,348820
V,349012
+,349242
N,349472
N,349805
N,350116
N,350424
N,350743
V,350938
N,351397
N,351729
N,352049
N,352366
V,352558
N,353031
V,353236
N,353705
N,354041
N,354355
V,354544
N,355015
V,355209
N,355672
N,356002
N,356314
N,356638
N,356962
N,357277
N,357613
N,357930
V,358119
N,358611
V,358817
N,359288
N,359625
N,359940
N,360266
N,360588
N,360906
N,361229
N,361561
N,361874
N,362191
N,362517
N,362835
N,363154
N,363475
N,363797
N,364121
N,364446
N,364766
N,365081
N,365409
N,365736
N,366051
N,366384
V,366576
N,367046
N,367382
N,367700
N,368009
V,368200
N,368663
V,368862
N,369332
N,369672
N,369989
N,370306
N,370641
N,370972
N,371295
N,371620
N,371950
N,372271
N,372593
N,372915
N,373231
N,373570
N,373895
N,374212
N,374561
N,374898
N,375216
N,375558
N,375889
V,376077
N,376563
V,376752
N,377236
N,377585
N,377894
N,378209
N,378527
N,378845
N,379158
N,379478
N,379803
N,380119
N,380441
N,380760
N,381079
N,381411
N,381736
N,382061
N,382403
N,382729
+,382824
V,382920
N,383410
V,383608
N,384108
V,384310
+,384558
N,384806
N,385165
N,385504
N,385842
N,386179
N,386514
N,386859
N,387200
N,387543
V,387743
N,388238
N,388591
+,388684
V,388778
N,389274
V,389476
N,389963
V,390156
+,390402
N,390648
N,390990
N,391319
V,391507
