Annotation,Location
+,9
F,46
V,209
N,483
F,697
V,853
N,1181
V,1378
V,1579
N,1860
V,2058
V,2242
N,2558
V,2747
V,2930
N,3201
V,3411
V,3606
N,3886
F,4097
V,4262
N,4565
F,4766
V,4944
N,5196
F,5414
V,5568
N,5899
V,6105
V,6304
~,6482
N,6579
F,6776
V,6941
N,7169
N,7349
F,7547
N,7750
N,7951
~,8093
N,8147
V,8317
N,8532
N,8727
N,8922
V,9087
N,9294
N,9472
N,9649
V,9824
N,10035
N,10233
N,10423
V,10595
N,10791
N,10973
N,11155
V,11324
N,11526
N,11697
N,11888
V,12055
N,12273
N,12471
N,12680
N,12894
~,13030
N,13099
F,13292
N,13486
N,13673
N,13850
N,14046
N,14251
N,14449
V,14619
N,14845
N,15036
V,15218
N,15431
N,15628
F,15831
N,16033
N,16241
V,16422
N,16677
N,16899
V,17088
N,17312
N,17515
F,17715
N,17916
N,18110
N,18306
N,18519
N,18727
N,18930
V,19092
N,19333
N,19538
V,19725
~,19850
N,19919
N,20105
F,20291
V,20453
N,20721
F,20932
V,21104
N,21359
N,21560
V,21728
N,21948
N,22148
F,22339
+,22415
V,22492
N,22738
N,22944
V,23128
N,23383
N,23590
V,23786
N,24002
N,24205
V,24395
V,24563
N,24855
F,25060
V,25231
N,25513
F,25716
V,25874
N,26121
N,26321
V,26502
N,26723
N,26916
V,27118
+,27257
N,27397
N,27632
V,27844
V,28013
N,28314
V,28505
V,28670
N,28963
F,29170
V,29344
N,29578
N,29780
N,29984
N,30190
N,30399
V,30598
V,30761
N,31063
V,31248
V,31439
N,31702
F,31913
V,32076
N,32317
N,32516
F,32719
N,32926
N,33130
N,33317
N,33522
N,33737
F,33956
V,34123
N,34405
F,34611
+,34691
V,34772
N,35021
N,35223
V,35384
N,35632
N,35841
V,36024
+,36135
N,36247
N,36451
F,36649
V,36815
N,37044
N,37239
N,37430
N,37611
N,37810
F,38036
V,38204
N,38534
V,38720
V,38892
N,39186
F,39381
V,39550
N,39790
N,40007
V,40183
N,40510
V,40719
V,40899
N,41235
V,41416
V,41593
N,41904
V,42090
V,42282
N,42569
F,42781
V,42940
N,43245
V,43441
V,43620
N,43908
F,44094
V,44260
N,44538
F,44751
V,44920
N,45226
F,45428
V,45598
N,45855
F,46061
V,46211
N,46490
